County,NUTS_II,Foot
Kilkenny,SE,30
Kilkenny,SE,2
Kilkenny,SE,6
Kilkenny,SE,4
Kilkenny,SE,15
Kilkenny,SE,17
Kilkenny,SE,8
Kilkenny,SE,11
Kilkenny,SE,19
Kilkenny,SE,2
Kilkenny,SE,7
Kilkenny,SE,5
Kilkenny,SE,9
Kilkenny,SE,12
Kilkenny,SE,5
Kilkenny,SE,6
Kilkenny,SE,3
Kilkenny,SE,21
Kilkenny,SE,5
Kilkenny,SE,9
Kilkenny,SE,19
Kilkenny,SE,10
Kilkenny,SE,40
Kilkenny,SE,19
Kilkenny,SE,81
Kilkenny,SE,37
Kilkenny,SE,20
Kilkenny,SE,30
Kilkenny,SE,8
Kilkenny,SE,2
Kilkenny,SE,9
Kilkenny,SE,0
Kilkenny,SE,8
Kilkenny,SE,16
Kilkenny,SE,6
Kilkenny,SE,8
Kilkenny,SE,11
Kilkenny,SE,9
Kilkenny,SE,16
Kilkenny,SE,15
Kilkenny,SE,56
Kilkenny,SE,12
Kilkenny,SE,8
Kilkenny,SE,10
Kilkenny,SE,11
Kilkenny,SE,37
Kilkenny,SE,34
Kilkenny,SE,12
Kilkenny,SE,37
Kilkenny,SE,7
Kilkenny,SE,3
Kilkenny,SE,2
Kilkenny,SE,6
Kilkenny,SE,7
Kilkenny,SE,0
Kilkenny,SE,1
Kilkenny,SE,4
Kilkenny,SE,5
Kilkenny,SE,6
Kilkenny,SE,1
Kilkenny,SE,11
Kilkenny,SE,6
Kilkenny,SE,12
Kilkenny,SE,12
Kilkenny,SE,2
Kilkenny,SE,24
Kilkenny,SE,28
Kilkenny,SE,52
Kilkenny,SE,14
Kilkenny,SE,11
Kilkenny,SE,10
Kilkenny,SE,56
Kilkenny,SE,7
Kilkenny,SE,31
Kilkenny,SE,19
Kilkenny,SE,8
Kilkenny,SE,11
Kilkenny,SE,36
Kilkenny,SE,22
Kilkenny,SE,17
Kilkenny,SE,6
Kilkenny,SE,13
Kilkenny,SE,10
Kilkenny,SE,4
Kilkenny,SE,19
Kilkenny,SE,2
Kilkenny,SE,6
Kilkenny,SE,8
Kilkenny,SE,28
Kilkenny,SE,6
Kilkenny,SE,38
Kilkenny,SE,6
Kilkenny,SE,9
Kilkenny,SE,39
Kilkenny,SE,6
Kilkenny,SE,7
Kilkenny,SE,3
Kilkenny,SE,24
Kilkenny,SE,31
Kilkenny,SE,9
Kilkenny,SE,6
Kilkenny,SE,11
Kilkenny,SE,13
Kilkenny,SE,7
Kilkenny,SE,4
Laoighis,BMW,2
Laoighis,BMW,8
Laoighis,BMW,16
Laoighis,BMW,11
Laoighis,BMW,16
